ID,Game,Where it appears,Type,English,Spanish,Your feedback,Suggested Spanish
DAN-033,Dance,The lobby,In-game,1 Impostor,1 Impostor,,
DAN-034,Dance,The lobby,In-game,Players,Jugadores,,
DAN-035,Dance,The lobby,In-game,0 / 0 ready,0 / 0 listos,,
DAN-036,Dance,The lobby,In-game,I'm Ready,Estoy listo,,
DAN-037,Dance,The lobby,In-game,Start Game,Empezar,,
DAN-038,Dance,The lobby,In-game,Waiting for all players to ready up…,Esperando a que todos estén listos…,,
DAN-080,Dance,The lobby,In-game,Show QR code,Ver el código QR,,
DAN-081,Dance,The lobby,In-game,Clear impostor song,Quitar la canción del impostor,,
DAN-082,Dance,The lobby,In-game,Fewer impostors,Menos impostores,,
DAN-083,Dance,The lobby,In-game,More impostors,Más impostores,,
DAN-100,Dance,The lobby,In-game,Game Mode,Modo de juego,,
DAN-143,Dance,The lobby,In-game,Host,Anfitrión,,
DAN-144,Dance,The lobby,In-game,Player,Jugador,,
DAN-145,Dance,The lobby,In-game,{name} (YOU),{name} (TÚ),,
DAN-147,Dance,The lobby,In-game,Keep your screen on to stay in the game.,Deja la pantalla encendida para no salirte de la partida.,,
DAN-148,Dance,The lobby,In-game,Loading songs…,Cargando canciones…,,
DAN-149,Dance,The lobby,In-game,Still loading songs…,Todavía cargando canciones…,,
DAN-150,Dance,The lobby,In-game,"The music service is slow right now, hang on…","El servicio de música va lento ahora mismo, un momento…",,
DAN-151,Dance,The lobby,In-game,Finding an impostor song with a different vibe…,Buscando para el impostor una canción con otro ritmo…,,
DAN-152,Dance,The lobby,In-game,Still listening for a contrast…,Todavía buscando el contraste…,,
DAN-153,Dance,The lobby,In-game,← Quit Game,← Salir de la partida,,
DAN-154,Dance,The lobby,In-game,← Leave Room,← Salir de la sala,,
DAN-155,Dance,The lobby,In-game,"[when 1] Need {count} more player to start.
[when 2+] Need {count} more players to start.","[when 1] Falta {count} jugador para empezar.
[when 2+] Faltan {count} jugadores para empezar.",,
DAN-156,Dance,The lobby,In-game,"[when 1] Need {count} more dancer to start.
[when 2+] Need {count} more dancers to start.","[when 1] Falta {count} bailarín para empezar.
[when 2+] Faltan {count} bailarines para empezar.",,
DAN-157,Dance,The lobby,In-game,"[when 1] Need {count} more player. Share the code!
[when 2+] Need {count} more players. Share the code!","[when 1] Falta {count} jugador. ¡Comparte el código!
[when 2+] Faltan {count} jugadores. ¡Comparte el código!",,
DAN-158,Dance,The lobby,In-game,"[when 1] Need {count} more dancer. Share the code!
[when 2+] Need {count} more dancers. Share the code!","[when 1] Falta {count} bailarín. ¡Comparte el código!
[when 2+] Faltan {count} bailarines. ¡Comparte el código!",,
DAN-159,Dance,The lobby,In-game,Waiting for everyone to ready up…,Esperando a que todos estén listos…,,
DAN-160,Dance,The lobby,In-game,Waiting for host to start…,Esperando a que el anfitrión empiece…,,
DAN-161,Dance,The lobby,In-game,"[when 1] Waiting for {count} more player to ready up…
[when 2+] Waiting for {count} more players to ready up…","[when 1] Falta {count} jugador por estar listo…
[when 2+] Faltan {count} jugadores por estar listos…",,
DAN-162,Dance,The lobby,In-game,Pick the group song to start.,Elige la canción del grupo para empezar.,,
DAN-163,Dance,The lobby,In-game,Everyone is ready. Hit start!,Todos listos. ¡A empezar!,,
DAN-164,Dance,The lobby,In-game,I'm Ready,Estoy listo,,
DAN-165,Dance,The lobby,In-game,I'm Not Ready,No estoy listo,,
DAN-166,Dance,The lobby,In-game,✓ Ready,✓ Listo,,
DAN-167,Dance,The lobby,In-game,Waiting,Esperando,,
DAN-168,Dance,The lobby,In-game,Host,Anfitrión,,
DAN-169,Dance,The lobby,In-game,DJ,DJ,,
DAN-170,Dance,The lobby,In-game,YOU,TÚ,,
DAN-171,Dance,The lobby,In-game,Host's Choice,La elige el anfitrión,,
DAN-172,Dance,The lobby,In-game,Pick the group song…,Elige la canción del grupo…,,
DAN-173,Dance,The lobby,In-game,Impostor song (optional),Canción del impostor (opcional),,
DAN-174,Dance,The lobby,In-game,🎵 {title} — {artist},🎵 {title} — {artist},,
DAN-086,Dance,Choosing a game mode,In-game,Pick a game mode,Elige el modo de juego,,
DAN-104,Dance,Choosing a game mode,In-game,Imposter Challenge,Reto del Impostor,,
DAN-105,Dance,Choosing a game mode,In-game,One player hears a different song. Dance and catch the imposter.,Un jugador escucha otra canción. Bailen y descubran quién es.,,
DAN-106,Dance,Choosing a game mode,In-game,DJ Mode,Modo DJ,,
DAN-107,Dance,Choosing a game mode,In-game,The host becomes the DJ and picks the songs for an Imposter round.,El anfitrión se vuelve el DJ y elige las canciones de la ronda.,,
DAN-108,Dance,Choosing a game mode,In-game,Find Your Squad,Encuentra a tu Gente,,
DAN-109,Dance,Choosing a game mode,In-game,Half the players hear the same song. Dance and find the player sharing your music.,La mitad escucha la misma canción. Baila y encuentra a quien va contigo.,,
DAN-110,Dance,Choosing a game mode,In-game,Partner Hunt,Busca tu Pareja,,
DAN-111,Dance,Choosing a game mode,In-game,Players are grouped into pairs. Each pair hears a different song. Find your matching teammate.,Los jugadores se reparten en parejas y cada pareja escucha una canción distinta. Encuentra a la tuya.,,
DAN-112,Dance,Choosing a game mode,In-game,Coming soon,Muy pronto,,
DAN-113,Dance,Choosing a game mode,In-game,🙋 I want this sooner,🙋 Lo quiero ya,,
DAN-114,Dance,Choosing a game mode,In-game,🎉 You're on the list,🎉 Estás en la lista,,
DAN-115,Dance,Choosing a game mode,In-game,Thanks! We'll build it if enough of you want it 🎉,"¡Gracias! Si lo piden suficientes, lo construimos 🎉",,
DAN-053,Dance,Choosing music and categories,In-game,Select,Elegir,,
DAN-054,Dance,Choosing music and categories,In-game,✨ Now you can select multiple categories,✨ Ahora puedes elegir varias categorías,,
DAN-055,Dance,Choosing music and categories,In-game,Done,Listo,,
DAN-056,Dance,Choosing music and categories,In-game,Pick the group song,Elige la canción del grupo,,
DAN-084,Dance,Choosing music and categories,In-game,Pick music categories,Elige las categorías de música,,
DAN-085,Dance,Choosing music and categories,In-game,Close,Cerrar,,
DAN-087,Dance,Choosing music and categories,In-game,Search for a song,Busca una canción,,
DAN-088,Dance,Choosing music and categories,In-game,Search song or artist…,Busca canción o artista…,,
DAN-137,Dance,Choosing music and categories,In-game,You're offline. Reconnect and tap Start again.,No tienes conexión. Vuelve a conectarte y toca Empezar otra vez.,,
DAN-138,Dance,Choosing music and categories,In-game,Couldn't load the songs. The music service isn't responding. Tap Start to try again.,No se pudieron cargar las canciones. El servicio de música no responde. Toca Empezar para intentarlo otra vez.,,
DAN-139,Dance,Choosing music and categories,In-game,Couldn't load enough songs. The music service isn't responding. Tap Start to try again.,No se pudieron cargar suficientes canciones. El servicio de música no responde. Toca Empezar para intentarlo otra vez.,,
DAN-140,Dance,Choosing music and categories,In-game,"Couldn't find an impostor song. Pick one yourself, or tap Start to try again.","No se encontró una canción para el impostor. Elige una tú, o toca Empezar para intentarlo otra vez.",,
DAN-141,Dance,Choosing music and categories,In-game,Pick the group song first,Primero elige la canción del grupo,,
DAN-142,Dance,Choosing music and categories,In-game,Pick two different songs,Elige dos canciones distintas,,
DAN-175,Dance,Choosing music and categories,In-game,Select,Elegir,,
DAN-176,Dance,Choosing music and categories,In-game,Cancel,Cancelar,,
DAN-177,Dance,Choosing music and categories,In-game,"[when 1] {count} song
[when 2+] {count} songs","[when 1] {count} canción
[when 2+] {count} canciones",,
DAN-178,Dance,Choosing music and categories,In-game,Pick the group song,Elige la canción del grupo,,
DAN-179,Dance,Choosing music and categories,In-game,Pick the impostor song,Elige la canción del impostor,,
DAN-180,Dance,Choosing music and categories,In-game,Searching…,Buscando…,,
DAN-181,Dance,Choosing music and categories,In-game,No songs found — try a different search.,No se encontraron canciones. Prueba con otra búsqueda.,,
DAN-182,Dance,Choosing music and categories,In-game,Search for any song,Busca cualquier canción,,
DAN-057,Dance,Song groups,In-game,Create a song group,Crear una lista de canciones,,
DAN-058,Dance,Song groups,In-game,↵ Add at least 4 songs,↵ Agrega al menos 4 canciones,,
DAN-059,Dance,Song groups,In-game,Save,Guardar,,
DAN-060,Dance,Song groups,In-game,Sign in to save and use anytime.,Inicia sesión para guardarla y usarla cuando quieras.,,
DAN-061,Dance,Song groups,In-game,Group Created!,¡Lista creada!,,
DAN-062,Dance,Song groups,In-game,Your song group is ready.,Tu lista de canciones está lista.,,
DAN-063,Dance,Song groups,In-game,Sign in & Save,Inicia sesión y guarda,,
DAN-064,Dance,Song groups,In-game,Save it to your account and use it anytime.,Guárdala en tu cuenta y úsala cuando quieras.,,
DAN-065,Dance,Song groups,In-game,Continue as Guest,Seguir como invitado,,
DAN-066,Dance,Song groups,In-game,Available only during this session.,Disponible solo en esta sesión.,,
DAN-067,Dance,Song groups,In-game,Lose your song group?,¿Pierdes tu lista de canciones?,,
DAN-068,Dance,Song groups,In-game,Signing in keeps it for next time.,"Si inicias sesión, se queda para la próxima.",,
DAN-069,Dance,Song groups,In-game,Quit anyway,Salir de todos modos,,
DAN-073,Dance,Song groups,In-game,Tap to start the music,Toca para que empiece la música,,
DAN-074,Dance,Song groups,In-game,"Your browser paused the song. One tap and you'll drop in, right in sync with everyone else.","El navegador pausó la canción. Con un toque entras, justo a tiempo con todos los demás.",,
DAN-089,Dance,Song groups,In-game,Search a song to add…,Busca una canción para agregar…,,
DAN-090,Dance,Song groups,In-game,Clear search,Borrar la búsqueda,,
DAN-091,Dance,Song groups,In-game,Group name (optional),Nombre de la lista (opcional),,
DAN-092,Dance,Song groups,In-game,Delete group,Borrar la lista,,
DAN-093,Dance,Song groups,In-game,Group created,Lista creada,,
DAN-183,Dance,Song groups,In-game,My Groups,Mis listas,,
DAN-184,Dance,Song groups,In-game,My Group,Mi lista,,
DAN-185,Dance,Song groups,In-game,Song Group {n},Lista {n},,
DAN-186,Dance,Song groups,In-game,+ Create a song group,+ Crear una lista de canciones,,
DAN-187,Dance,Song groups,In-game,Create a song group,Crear una lista de canciones,,
DAN-188,Dance,Song groups,In-game,Edit song group,Editar la lista,,
DAN-189,Dance,Song groups,In-game,"[when 1] {count} song · on this session
[when 2+] {count} songs · on this session","[when 1] {count} canción · solo en esta sesión
[when 2+] {count} canciones · solo en esta sesión",,
DAN-190,Dance,Song groups,In-game,"[when 1] You can keep up to {count} song group. Edit or delete one to add another.
[when 2+] You can keep up to {count} song groups. Edit or delete one to add another.","[when 1] Puedes guardar hasta {count} lista. Edita o borra una para agregar otra.
[when 2+] Puedes guardar hasta {count} listas. Edita o borra una para agregar otra.",,
DAN-191,Dance,Song groups,In-game,"[when 1] You can keep up to {count} song group
[when 2+] You can keep up to {count} song groups","[when 1] Puedes guardar hasta {count} lista
[when 2+] Puedes guardar hasta {count} listas",,
DAN-192,Dance,Song groups,In-game,"[when 1] Up to {count} song per group
[when 2+] Up to {count} songs per group","[when 1] Hasta {count} canción por lista
[when 2+] Hasta {count} canciones por lista",,
DAN-193,Dance,Song groups,In-game,Song group saved to your account,Lista guardada en tu cuenta,,
DAN-194,Dance,Song groups,In-game,"Group saved. Your account is at the group limit, the rest stay session-only.","Lista guardada. Tu cuenta llegó al límite, así que las demás se quedan solo en esta sesión.",,
DAN-195,Dance,Song groups,In-game,"Your account is at the group limit, so your session group was not saved.","Tu cuenta llegó al límite de listas, así que la lista de esta sesión no se guardó.",,
DAN-196,Dance,Song groups,In-game,"Delete ""{name}""?",¿Borrar «{name}»?,,
DAN-197,Dance,Song groups,In-game,Discard this song group?,¿Descartar esta lista?,,
DAN-039,Dance,Playing the round,In-game,Your song is different — blend in and dance like you fit the vibe.,Tu canción es otra. Disimula y baila como si fuera la de todos.,,
DAN-040,Dance,Playing the round,In-game,NOW PLAYING,SONANDO AHORA,,
DAN-041,Dance,Playing the round,In-game,Track —,Canción —,,
DAN-042,Dance,Playing the round,In-game,End Round,Terminar la ronda,,
DAN-043,Dance,Playing the round,In-game,Dance to the song! Watch who's off the vibe.,¡A bailar! Mira quién va a otro ritmo.,,
DAN-101,Dance,Playing the round,In-game,You're the Impostor,Eres el impostor,,
DAN-102,Dance,Playing the round,In-game,Game Master,Maestro del Juego,,
DAN-146,Dance,Playing the round,In-game,"[when 1] Impostor
[when 2+] Impostors","[when 1] Impostor
[when 2+] Impostores",,
DAN-201,Dance,Playing the round,In-game,🎵 NOW PLAYING,🎵 SONANDO AHORA,,
DAN-202,Dance,Playing the round,In-game,{title} — {artist},{title} — {artist},,
DAN-203,Dance,Playing the round,In-game,End Round,Terminar la ronda,,
DAN-204,Dance,Playing the round,In-game,"[when 1] Impostor: {names}
[when 2+] Impostors: {names}","[when 1] Impostor: {names}
[when 2+] Impostores: {names}",,
DAN-205,Dance,Playing the round,In-game,You're watching — everyone else is dancing.,Tú miras. Los demás bailan.,,
DAN-206,Dance,Playing the round,In-game,Dance to your song and find the others on your wavelength.,Baila tu canción y encuentra a quienes van contigo.,,
DAN-207,Dance,Playing the round,In-game,Dance to the song! Watch who's off the vibe.,¡A bailar! Mira quién va a otro ritmo.,,
DAN-229,Dance,Playing the round,In-game,Tap to start the music,Toca para que empiece la música,,
DAN-230,Dance,Playing the round,In-game,"Your browser paused the song. One tap and you'll drop in, right in sync with everyone else.","El navegador pausó la canción. Con un toque entras, justo a tiempo con todos los demás.",,
DAN-231,Dance,Playing the round,In-game,Couldn't load the song,No se pudo cargar la canción,,
DAN-232,Dance,Playing the round,In-game,The music service didn't answer. Tap to try again and you'll drop back in with everyone else.,El servicio de música no respondió. Toca para intentarlo otra vez y entrar con todos los demás.,,
DAN-044,Dance,Discussion and voting,In-game,Find the Impostor,Encuentren al impostor,,
DAN-045,Dance,Discussion and voting,In-game,who danced off the vibe?,¿quién iba a otro ritmo?,,
DAN-046,Dance,Discussion and voting,In-game,Reveal Impostor,Revelar impostor,,
DAN-208,Dance,Discussion and voting,In-game,Find Your Group,Encuentra a tu grupo,,
DAN-209,Dance,Discussion and voting,In-game,Find the Impostor,Encuentren al impostor,,
DAN-210,Dance,Discussion and voting,In-game,who shared your song?,¿quién escuchaba tu canción?,,
DAN-211,Dance,Discussion and voting,In-game,who danced off the vibe?,¿quién iba a otro ritmo?,,
DAN-212,Dance,Discussion and voting,In-game,Reveal Groups,Revelar los grupos,,
DAN-213,Dance,Discussion and voting,In-game,Reveal Impostor,Revelar impostor,,
DAN-214,Dance,Discussion and voting,In-game,Everyone locked in their guess? Hit Reveal to show the groups.,¿Ya se decidieron todos? Toca Revelar para mostrar los grupos.,,
DAN-215,Dance,Discussion and voting,In-game,"You know who it is — enjoy the debate, then reveal.",Tú sabes quién es. Disfruta el debate y después revela.,,
DAN-216,Dance,Discussion and voting,In-game,Hit Reveal when everyone is ready.,Toca Revelar cuando todos estén listos.,,
DAN-217,Dance,Discussion and voting,In-game,waiting for the host to reveal the groups….,esperando a que el anfitrión revele los grupos….,,
DAN-218,Dance,Discussion and voting,In-game,waiting for host to reveal impostor….,esperando a que el anfitrión revele al impostor….,,
DAN-047,Dance,End of the round,In-game,Round Over,Fin de la ronda,,
DAN-048,Dance,End of the round,In-game,TheImpostorwas,ElImpostorera,,
DAN-049,Dance,End of the round,In-game,Crewmates heard,El grupo escuchó,,
DAN-050,Dance,End of the round,In-game,Impostor heard,El impostor escuchó,,
DAN-051,Dance,End of the round,In-game,Play Again,Otra ronda,,
DAN-052,Dance,End of the round,In-game,Exit Room,Salir de la sala,,
DAN-219,Dance,End of the round,In-game,Round Over,Fin de la ronda,,
DAN-220,Dance,End of the round,In-game,The Reveal!,¡La revelación!,,
DAN-221,Dance,End of the round,In-game,Round complete. Here are the squads…,Ronda terminada. Estos son los equipos…,,
DAN-222,Dance,End of the round,In-game,"[when 1] was
[when 2+] were","[when 1] era
[when 2+] eran",,
DAN-223,Dance,End of the round,In-game,"[when 1] Impostor heard
[when 2+] Impostors heard","[when 1] El impostor escuchó
[when 2+] Los impostores escucharon",,
DAN-224,Dance,End of the round,In-game,YOUR SQUAD,TU EQUIPO,,
DAN-225,Dance,End of the round,In-game,THE OTHER SQUAD,EL OTRO EQUIPO,,
DAN-226,Dance,End of the round,In-game,SQUAD {n},EQUIPO {n},,
DAN-227,Dance,End of the round,In-game,Quit Game,Salir de la partida,,
DAN-228,Dance,End of the round,In-game,Exit Room,Salir de la sala,,
DAN-116,Dance,Errors and messages,In-game,Firebase not configured,Firebase sin configurar,,
DAN-117,Dance,Errors and messages,In-game,Firebase not configured — see README,Firebase sin configurar. Mira el README.,,
DAN-118,Dance,Errors and messages,In-game,Room closed,Sala cerrada,,
DAN-119,Dance,Errors and messages,In-game,Room not found,No se encontró la sala,,
DAN-120,Dance,Errors and messages,In-game,No room found with that code,No hay ninguna sala con ese código,,
DAN-121,Dance,Errors and messages,In-game,Game already in progress,La partida ya comenzó,,
DAN-122,Dance,Errors and messages,In-game,Room is full,La sala está llena,,
DAN-123,Dance,Errors and messages,In-game,Could not check room: {detail},No se pudo verificar la sala: {detail},,
DAN-124,Dance,Errors and messages,In-game,Choose a nickname,Elige un nombre,,
DAN-125,Dance,Errors and messages,In-game,Could not join,No se pudo entrar,,
DAN-126,Dance,Errors and messages,In-game,Failed to create room: {detail},No se pudo crear la sala: {detail},,
DAN-127,Dance,Errors and messages,In-game,Could not load songs,No se pudieron cargar las canciones,,
DAN-128,Dance,Errors and messages,In-game,Could not change category,No se pudo cambiar de categoría,,
DAN-129,Dance,Errors and messages,In-game,Could not change mode,No se pudo cambiar de modo,,
DAN-130,Dance,Errors and messages,In-game,Could not select group,No se pudo elegir la lista,,
DAN-131,Dance,Errors and messages,In-game,Could not save group,No se pudo guardar la lista,,
DAN-132,Dance,Errors and messages,In-game,Could not copy,No se pudo copiar,,
DAN-133,Dance,Errors and messages,In-game,No track loaded,No hay ninguna canción cargada,,
DAN-136,Dance,Errors and messages,In-game,Room code copied,Código copiado,,
DAN-071,Dance,Rating and feedback,In-game,Enjoying the game? 🎉,¿Te está gustando? 🎉,,
DAN-072,Dance,Rating and feedback,In-game,Tell us what you think,Cuéntanos qué te parece,,
DAN-095,Dance,Rating and feedback,In-game,Enjoying the game?,¿Te está gustando?,,
DAN-096,Dance,Rating and feedback,In-game,Not great,Regular,,
DAN-097,Dance,Rating and feedback,In-game,It's okay,Normal,,
DAN-098,Dance,Rating and feedback,In-game,Good,Bueno,,
DAN-099,Dance,Rating and feedback,In-game,Love it,Me encanta,,
DAN-233,Dance,Rating and feedback,In-game,Thanks! 🙏,¡Gracias! 🙏,,
DAN-234,Dance,Rating and feedback,In-game,Tell us more,Cuéntanos más,,
DAN-103,Dance,Language,In-game,Cancel,Cancelar,,
DAN-135,Dance,Language,In-game,The whole game will be in {lang}: the songs and the buttons. Everyone in a room plays in the same language.,Todo el juego va a estar en {lang}: las canciones y los botones. En una sala todos juegan en el mismo idioma.,,
DAN-198,Dance,Screen reader labels,In-game,Edit group,Editar la lista,,
DAN-199,Dance,Screen reader labels,In-game,Preview,Escuchar un fragmento,,
DAN-200,Dance,Screen reader labels,In-game,Remove,Quitar,,
DAN-235,Dance,Spanish-only song categories,Spanish only,,Categorías,,
DAN-236,Dance,Spanish-only song categories,Spanish only,,Canciones que se reconocen en cualquier idioma,,
DAN-237,Dance,Spanish-only song categories,Spanish only,,Éxitos globales,,
DAN-238,Dance,Spanish-only song categories,Spanish only,,"Perreo, trap y lo que manda en el género urbano",,
DAN-239,Dance,Spanish-only song categories,Spanish only,,Reggaetón y urbano,,
DAN-240,Dance,Spanish-only song categories,Spanish only,,Pop latino y clásicos que todos se saben,,
DAN-241,Dance,Spanish-only song categories,Spanish only,,Éxitos en español,,
DAN-242,Dance,Spanish-only song categories,Spanish only,,Lo que está sonando en TikTok y Reels,,
DAN-243,Dance,Spanish-only song categories,Spanish only,,TikTok y Reels,,
DAN-244,Dance,English-only song categories,English only,Indian,,,
DAN-245,Dance,English-only song categories,English only,International,,,
DAN-246,Dance,English-only song categories,English only,The biggest songs of the 80s,,,
DAN-247,Dance,English-only song categories,English only,80s Hits,,,
DAN-248,Dance,English-only song categories,English only,The biggest songs of the 90s,,,
DAN-249,Dance,English-only song categories,English only,90s Hits,,,
DAN-250,Dance,English-only song categories,English only,Trending songs from Bollywood,,,
DAN-251,Dance,English-only song categories,English only,Bollywood,,,
DAN-252,Dance,English-only song categories,English only,The biggest K-pop hits right now,,,
DAN-253,Dance,English-only song categories,English only,K-Pop,,,
DAN-254,Dance,English-only song categories,English only,Trending Kannada songs,,,
DAN-255,Dance,English-only song categories,English only,Kannada,,,
DAN-256,Dance,English-only song categories,English only,Reggaeton and Latin chart-toppers,,,
DAN-257,Dance,English-only song categories,English only,Latin Hits,,,
DAN-258,Dance,English-only song categories,English only,Trending Malayalam songs,,,
DAN-259,Dance,English-only song categories,English only,Malayalam,,,
DAN-260,Dance,English-only song categories,English only,Trending Tamil songs,,,
DAN-261,Dance,English-only song categories,English only,Tamil,,,
DAN-262,Dance,English-only song categories,English only,Trending Telugu songs,,,
DAN-263,Dance,English-only song categories,English only,Telugu,,,
DAN-264,Dance,English-only song categories,English only,What's trending on TikTok and Reels,,,
DAN-265,Dance,English-only song categories,English only,TikTok and Reels,,,
DAN-266,Dance,English-only song categories,English only,Chart-topping hits playing right now,,,
DAN-267,Dance,English-only song categories,English only,Today's Pop,,,
LDAN-001,Dance,Page title and search description,Landing page,Imposter Dance Game | Free Headphones Party Game,Juego del Impostor de Baile | Gratis y Online,,
LDAN-002,Dance,Page title and search description,Landing page,"Who is the imposter? Everyone puts on headphones and dances to the same song, except the imposter, who hears a completely different track. Catch them by whose dancing is off-vibe. A free online imposter dance game for 3–20 friends, no app, no sign-up. Also known as the Imposter Dance Challenge. Pick one or more music categories (today's pop, K-pop, Latin, 80s and 90s hits, TikTok and Reels, Bollywood, Tamil, Telugu, Kannada, Malayalam) or use DJ Mode to have the host choose the exact song the group hears.","El Juego del Impostor de Baile: un juego de fiesta online y gratis. Todos se ponen los auriculares y bailan la misma canción, menos el impostor, que escucha otra completamente distinta. Descubran quién va a otro ritmo. Juega gratis en el navegador con 3 a 20 amigos, sin app y sin registro. Elige una o varias categorías de música (TikTok y Reels, reggaetón y urbano, éxitos en español, éxitos globales) o usa el Modo DJ para elegir tú mismo la canción que escucha el grupo.",,
LDAN-003,Dance,Page title and search description,Landing page,Impostor Dance Game,Impostor de Baile,,
LDAN-004,Dance,Page title and search description,Landing page,"Everyone wears headphones and dances to the same song — except the impostor. A free multiplayer party game — the Imposter Dance Challenge, in your browser for 3–20 friends.","Todos bailan la misma canción con los auriculares puestos, menos el impostor, que escucha otra. Un juego de fiesta gratis: descubran quién va a otro ritmo. En el navegador, para 3 a 20 amigos.",,
LDAN-005,Dance,Page title and search description,Landing page,Impostor Dance Game,Impostor de Baile,,
LDAN-006,Dance,Page title and search description,Landing page,"Everyone wears headphones and dances to the same song — except the impostor. A free multiplayer party game — the Imposter Dance Challenge, in your browser for 3–20 friends.","Todos bailan la misma canción con los auriculares puestos, menos el impostor, que escucha otra. Un juego de fiesta gratis: descubran quién va a otro ritmo. En el navegador, para 3 a 20 amigos.",,
LDAN-007,Dance,Page title and search description,Landing page,"imposter dance challenge, imposter dance game, imposter dance game app, imposter dance challenge game, headphones party game, impostor dance game, impostor music game, dj mode dance game, host picks the song, song imposter game, guess the song party game, music imposter game, who is the impostor, who is the imposter app, who is the impostor game, imposter dance app, party game, multiplayer party game, multiplayer impostor game, multiplayer dance game, online multiplayer party game, social deduction game, spyfall, among us party game","juego del impostor, impostor de baile, juego del impostor de baile, juego de baile con auriculares, reto del impostor bailando, impostor bailando, quien es el impostor, impostor online, juego de fiesta, juegos para fiestas, juegos de fiesta online, juego multijugador online, juego de deduccion social, juegos como among us, juego de bailar con amigos, modo dj, juegos para reuniones",,
LDAN-008,Dance,How to play,Landing page,How to Play,Cómo se juega,,
LDAN-009,Dance,How to play,Landing page,A party game of bluff and beats — also known as the Imposter Dance Challenge,"Una canción, unos auriculares y un impostor que va a otro ritmo",,
